Type;Medium;Title;Year;Director;Seen;Franchise;Franchise Complete;Length;Genre;Cast;Crew
Movie;BluRay;Mad Max: Fury Road;2015;George Miller;NO;YES;NO;120;;;
Movie;DVD;Maleficent;2014;Robert Stromberg;YES;YES;NO;93;;;
Movie;DVD;Mamma Mia!;2008;Phyllida Lloyd;YES;YES;NO;104;;;
Movie;DVD;Mary Poppins;1964;Robert Stevenson;YES;YES;YES;134;;;
Movie;DVD;Mary Poppins Returns;2018;Rob Marshall;YES;YES;YES;125;;;
Movie;DVD;Maze Runner: The Scorch Trials;2015;Wes Ball;NO;YES;NO;126;;;
Movie;DVD;Minions;2015;Kyle Balda, Pierre Coffin;YES;YES;NO;91;;;
Series;DVD;Miss Congeniality;2000;Donald Petrie;YES;YES;YES;106;;;
Movie;DVD;Miss Congeniality 2;2005;John Pasquin;YES;YES;YES;110;;;
Movie;DVD;Miss Sloane;2016;John Madden;YES;NO;;126;;;
Movie;DVD;Mission: Impossible - Fallout;2018;Christopher McQuarrie;YES;YES;NO;141;;;
Movie;DVD;Mission: Impossible - Rogue Nation;2015;Christopher McQuarrie;YES;YES;NO;126;;;
Movie;DVD;Molly's Game;2017;Aaron Sorkin;YES;NO;;134;;;
Movie;DVD;Monsters University;2013;Dan Scanion;YES;YES;YES;100;;;
Movie;DVD;Monsters, Inc.;2001;Pete Docter;YES;YES;YES;88;;;
Movie;DVD;Mortal Engines;2018;Christian Rivers;YES;NO;;123;;;
Series;DVD;Mr. Bean;1990;Rowan Atkinson;YES;NO;;25;;;
Movie;DVD;Mr. Bean's Holiday;2007;Steve Bendelack;YES;NO;;86;;;
Movie;DVD;Mud;2012;Jeff Nichols;YES;NO;;125;;;
Movie;DVD;Murder by Death;1976;Robert Moore;YES;NO;;91;;;
Movie;BluRay;Murder on the Orient Express;2017;Kenneth Branagh;YES;NO;;114;;;
Movie;DVD;Murder on the Orient Express;1974;Sidney Lumet;YES;NO;;122;;;
Movie;DVD;Mysteries of the Deep;2013;Danny Mauro;YES;NO;;40;;;
Movie;DVD;Night at the Museum;2006;Shawn Levy;YES;YES;NO;100;;;
Movie;DVD;Night at the Museum: Battle of the Smithsonian;2009;Shawn Levy;YES;YES;NO;104;;;
Movie;BluRay;Oblivion;2013;Joseph Kosinski;NO;NO;;125;;;
Movie;BluRay;Ocean's Eight;2018;Gary Ross;YES;YES;YES;110;;;
Movie;DVD;Ocean's Eleven;2001;Stephen Soderbergh;YES;YES;YES;116;;;
Movie;DVD;Ocean's Thirteen;2007;Stephen Soderbergh;YES;YES;YES;122;;;
Movie;DVD;Ocean's Twelve;2004;Stephen Soderbergh;YES;YES;YES;125;;;
Movie;DVD;One Flew Over the Cuckoo's Nest;1975;Milos Forman;NO;NO;;128;;;
Series;DVD;One Tree Hill [Season 1];2003;Mark Schwahn;YES;YES;YES;40;;;
Series;DVD;One Tree Hill [Season 2];2004;Mark Schwahn;YES;YES;YES;40;;;
Series;DVD;One Tree Hill [Season 3];2005;Mark Schwahn;YES;YES;YES;40;;;
Series;DVD;One Tree Hill [Season 4];2006;Mark Schwahn;YES;YES;YES;40;;;
Series;DVD;One Tree Hill [Season 5];2008;Mark Schwahn;YES;YES;YES;40;;;
Series;DVD;One Tree Hill [Season 6];2008;Mark Schwahn;YES;YES;YES;40;;;
Series;DVD;One Tree Hill [Season 7];2009;Mark Schwahn;YES;YES;YES;40;;;
Series;DVD;One Tree Hill [Season 8];2010;Mark Schwahn;YES;YES;YES;40;;;
Series;DVD;One Tree Hill [Season 9];2012;Mark Schwahn;YES;YES;YES;40;;;
Movie;DVD;Ophelia;2018;Claire McCarthy;YES;NO;;110;;;
Movie;DVD;Parasite;2019;Bong Joon Ho;YES;NO;;127;;;
Movie;BluRay;Passengers;2016;Morten Tyldum;YES;NO;;116;;;
Movie;DVD;Percy Jackson & the Olympians: The Lightning Thief;2010;Chris Columbus;YES;YES;YES;114;;;
Movie;DVD;Percy Jackson: Sea of Monsters;2013;Thor Freudenthal;YES;YES;YES;102;;;
Movie;DVD;Peter Rabbit;2018;Will Gluck;YES;YES;NO;91;;;
Movie;DVD;Pitch Perfect;2012;Jason Moore;YES;YES;YES;107;;;
Movie;DVD;Pitch Perfect 2;2015;Elizabeth Banks;YES;YES;YES;110;;;
Movie;DVD;Pitch Perfect 3;2017;Trish Sie;YES;YES;YES;89;;;
